Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Average Flow Duration,Average Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,44.227.96.221,161030872,241,1.61030872E8,241.0,0.0,0.0
192.168.20.48,54.173.93.68,1479251,67,1479251.0,67.0,0.0,0.0
54.173.93.68,192.168.20.48,15825,4,15825.0,4.0,0.0,0.0
192.168.20.19,239.255.255.250,1047931509,10092,-1.6235178935E9,5046.0,2.400484905E8,4614.0
192.168.20.45,8.8.8.8,419614,38,419614.0,38.0,0.0,0.0
192.168.20.48,18.205.68.150,76787,1,76787.0,1.0,0.0,0.0
192.168.20.48,35.164.36.47,1953554,50,1953554.0,50.0,0.0,0.0
192.168.20.43,104.199.65.124,817185809,6997,-1.7388907435E9,3498.5,1.842921515E8,3228.5
192.168.20.43,44.193.236.65,12736669,17,1.2736669E7,17.0,0.0,0.0
192.168.20.43,52.216.29.196,8961624,300,8961624.0,300.0,0.0,0.0
192.168.20.43,205.251.242.2,694440,17,694440.0,17.0,0.0,0.0
192.168.20.13,3.121.131.36,460587,30,460587.0,30.0,0.0,0.0
192.168.20.48,54.193.16.2,4014497,103,2007248.5,51.5,1342709.5,34.5
35.171.216.243,192.168.20.48,2185,2,2185.0,2.0,0.0,0.0
54.205.24.65,192.168.20.48,37304,17,18652.0,8.5,17502.0,7.5
192.168.20.48,54.157.203.98,9734760,592,4867380.0,296.0,2087940.0,118.0
178.236.7.140,192.168.20.43,2409,2,2409.0,2.0,0.0,0.0
18.214.180.6,192.168.20.48,33104,14,33104.0,14.0,0.0,0.0
192.168.20.48,209.54.179.232,371433,12,371433.0,12.0,0.0,0.0
192.168.20.48,3.6.255.210,2468758,84,2468758.0,84.0,0.0,0.0
192.168.20.43,52.84.174.45,1885984,6,1885984.0,6.0,0.0,0.0
157.175.241.61,192.168.20.48,6976,5,6976.0,5.0,0.0,0.0
192.168.20.40,255.255.255.255,691753497,165,6.91753497E8,165.0,0.0,0.0
192.168.20.48,13.54.168.82,3364550,51,3364550.0,51.0,0.0,0.0
54.239.35.211,192.168.20.43,5335,3,5335.0,3.0,0.0,0.0
18.134.222.161,192.168.20.48,13227,6,13227.0,6.0,0.0,0.0
192.168.20.48,52.222.193.55,2485974,367,2485974.0,367.0,0.0,0.0
